# 第6章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

54|第一次噩梦 - 场景54|海上的第一个夜晚，注定难眠。\n\n你不知躺了多久才睡着，在船上辗转反侧，额头不停冒出冷汗。\n\n你在做噩梦。\n\n与此同时，梦魇号船舱内，那具船长骸骨突然有了动静，骨骼开始颤抖，破损的颅骨内亮起灵魂之火。\n\n嘎吱！嘎吱!\n\n骨骼相互碰撞摩擦，这具骸骨直接站了起来。\n\n你走出船舱，缓步来到位于船头的船长室，轻轻推开房门。\n\n房内，你依旧处于睡梦中，时不时侧身。\n\n亡骸看着你，凝视了许久，随即视线被一旁长有藤壶的鱼竿吸引。|NORMAL|true

55|第一次噩梦 - 场景55|你走了过去，拿过鱼竿，随后毫不停留，走出房门，去到相对宽敞的船中庭，开始钓鱼....\n\n十几分钟后，有东西上钩了。\n\n一只惨白浮肿的手从海里伸出，抓住了鱼线.....\n\n你仍在做梦，而且是噩梦。\n\n“啊！”\n\n你突然惊醒，用手摸向自己的腹部，发现完好无损后，才长舒一口气。\n\n就在刚刚，你梦见一具肿胀的溺尸，悄无声息的推开门，走了进来。\n\n梦境是如此真实，仿佛亲眼所见。\n\n你记得那溺尸走动的声音。\n\n啪叽、啪叽！|EXPLORATION|true

56|第一次噩梦 - 场景56|就好像湿润的拖把拍在地上。\n\n你醒来时，这溺尸已经近在眼前。\n\n你二话不说，拿起床头的燧发枪就朝溺尸打去。\n\n咔！\n\n枪哑口了。\n\n下一瞬，你被这溺尸按在了床上，成了板上鱼肉，被开膛破肚，鲜红滚烫的脏器流了一地。\n\n【你体验了死亡，被虐杀吞噬，理智下降15】\n\n“呼！”\n\n还好是梦！\n\n你长舒一口气。\n\n但忽然，你发现船长室的门居然是开着的，立刻把燧发枪抓在手中。\n\n“是风吗？\n\n不可能，今天海上就没什么风！”\n\n啪叽、啪叽！\n\n熟悉的脚步声传来。|EXPLORATION|true

57|第一次噩梦 - 场景57|一具浮肿的溺尸出现在门口。\n\n它似乎在海里泡了很久，已经被泡得肿胀发臭，身上还穿着烂成碎布的水手服，挂满海藻。\n\n此刻，它正用惨白的眼眸看向你....\n\n“FxxK！”\n\n【看见不明生物，你的理智下降5】\n\n你怒骂一声，立刻就开枪打去。\n\n咔。\n\n枪卡壳了。\n\n溺尸似乎还留有几分神智，看见手枪哑火，便咧开大嘴笑了起来。\n\n嘴里没几颗牙，一只螃蟹从中爬出。\n\n这一幕，和噩梦非常像，所以你早有准备。|NORMAL|true

58|第一次噩梦 - 场景58|枪没响的同时，你就把燧发枪当石头砸了出去，正中溺尸头部。\n\n趁溺尸被砸间隙，你抄起一旁的长矛，对溺尸发起了冲锋，一矛扎进了腐尸脖子，然后身体也撞了上去。\n\n但你并非是要造成杀伤，而是急着离开船长室。\n\n只有逃出这狭窄的空间，去到甲板，你才有和溺尸一战的可能！\n\n冲刺的力量很大，加上体重，你勉强从溺尸身旁挤了出去。\n\n那腥臭腐烂的味道，差点让你吐出来。\n\n【恶心的臭味，你理智下降5】|NORMAL|true

