# 第3章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

16|幽灵船梦魇号 - 场景16|【梦魇号，一级，耐久300/300，容量400单位，航速40节】\n\n【船体技能：\n\n梦魇：船上睡觉会做噩梦，精力恢复效率-75%。\n\n垂钓者的诅咒：这艘船被诅咒，钓不到正常的鱼。】\n\n【简介：这艘船在海上漂了数百年，终于迎来了它的新主人....】\n\n你看完船只信息，脸色变得难看起来。\n\n这船是一艘幽灵船。\n\n船体外侧布满藤壶海藻，不知多你没清理了。\n\n甲板也湿漉漉的，踩上去会发出嘎吱嘎吱的响声。\n\n你玩过不少恐怖游戏。|HORROR|true

17|幽灵船梦魇号 - 场景17|像这种场景，大概率藏有怪！\n\n好在你搜了个遍，也没发现第二个能动的东西。\n\n你长舒一口气。\n\n你也不想刚开局，就和莫名其妙的生物，来一场酣畅淋漓的对决。\n\n船只情况你也摸索清楚了。\n\n这船大概十二米长，由船舵，船长室、甲板、船舱几部分组成。\n\n船舵位于船头甲板的平台，高出一截，视线良好。\n\n后方则是船长室，里面有床和简单的家具。\n\n再后面，则是船的中庭，竖立有一根高大的桅杆。\n\n尾部则是船舱，直通船体内部，用于囤积货物。|EXPLORATION|true

18|幽灵船梦魇号 - 场景18|你进船舱看过，里面空无一物，连虫子都没有，只有一股潮湿恶心的霉味扑面而来。\n\n你的开局，补给为0....\n\n毕竟这幽灵船在海上漂了不知多你，如果有吃有喝，那才奇怪了！\n\n你打开日志，继续查看世界频道，想看看其他人有什么发现。\n\n聊天的人基本都在晒自己的船。\n\n大部分是普通船只，也有特殊船，其中有几艘船格外亮眼。\n\n【疾风号，一级，耐久800/800，容量500单位，航速70节】|DIALOGUE|true

19|幽灵船梦魇号 - 场景19|【船体技能：乘风破浪：船速增加100%，持续时间5分钟。】\n\n【简介：你们连它尾气都吸不到，信我！】\n\n这应该是目前最快的一艘船。\n\n其他白板船只，根据大小，船速都在30到40节左右，大的船只一般耐久高些，但速度慢一些。\n\n你的梦魇号，速度算是中等偏上。\n\n【樱花号，一级，耐久1000/1000，容量1000单位，航速35节】\n\n【福光四射：船上的樱花树会射出进化福光，时不时改变船员属性，可能会引发进化！】|NORMAL|true

20|幽灵船梦魇号 - 场景20|【简介：希望船员能保持人样。】\n\n这信息一出，世界频道罕见消停了几秒。\n\n“哈哈，我这艘船厉害吧，我感觉我正在进化，Wryyyyy！”\n\n“你确定那不是变异？”\n\n“樱花号是吧，我劝你最好开快些，别撞见我，不然我铁定把炮管怼到你XX里！”\n\n说话的是钢铁雄心号，你已经解除了匿名，显示出你的船名。\n\n后面还附有照片，来自日志的截图功能。\n\n那是一艘钢铁战船，武装到牙齿，两侧炮管就足足有二十个，火力可谓拉满，武德充沛。|NORMAL|true

21|幽灵船梦魇号 - 场景21|但一想到它的船速只有五节，大家就乐开了花。\n\n“八嘎！你能活过明天再说。”\n\n“奶奶的！你给劳资等着！”\n\n后面是一堆无营养的谩骂，很多字都被屏蔽了。\n\n“看来不同语言，都会被系统翻译变成自己的母语....”\n\n你默默打出一条：“算我一个！”\n\n然后继续往上翻，终于找到了有意思的信息。\n\n“你们有试过钓鱼吗？”\n\n“别吵，我正在钓！”\n\n“发现可以钓鱼，我突然不想回去了。”\n\n“我一周钓一次，一次钓一周！”\n\n“我刚把窝子打好。”|EXPLORATION|true

22|幽灵船梦魇号 - 场景22|“你的船在动，你打个屁的窝子，傻吗？”\n\n“干！你不早说，劳资打习惯了，我的黑面包啊！”\n\n“你们猜我钓到了啥，一瓶农妇三拳！”\n\n你眼前一亮，能钓到淡水，那就好办了。\n\n你的船也有一根钓竿，落在甲板上。\n\n【名称：长有藤壶的发霉钓竿】\n\n【种类：工具】\n\n【品质：良品】\n\n【简介：相信我，你不会喜欢它钓上的东西的。\n\n减少钓到正常鱼类的概率，略微提升钓到不明物的概率。】\n\n“这不明物，想必也包括淡水！”\n\n你判断道。|NORMAL|true

23|幽灵船梦魇号 - 场景23|不过在开钓之前，你还得调整好船的航向和航速。\n\n你目前并没目标，准备按默认方向，一路往前开，全速前进。\n\n后面视野尽头，不知多远，有一抹黑色，那估计就是黑雾的边界线。\n\n所以往前开肯定不会错。\n\n船只操控也很简单，不需要任何技术，全是魔法。\n\n你只需手扶船舵，就能轻松改变船的航向，操控船只。\n\n包括调节船的航速，使用船上的装备，比如爪钩。\n\n总体感受，和玩过的航海游戏类似，比开车还简单，跳过学习，直接人船一体。|NORMAL|true

24|幽灵船梦魇号 - 场景24|船舵也位于船头，玩家可以掌舵的同时，时刻关注前方海面情况。\n\n若非如此，恐怕一人是不可能开动这艘船的。\n\n至于动力...\n\n你看向桅杆，上面只象征性地挂着几缕破布。\n\n你决定不去思考这个问题，专心抓漂浮物。\n\n【烂木头+1】\n\n【烂木头+1】\n\n【破布条+1】\n\n【烂木头+1】\n\n航海日志的活动记录不停弹出新消息。\n\n这玩法很像黄金矿工，只是抓的目标是动态的。\n\n物品被抓到后，会被换算成物资，存入船舱，可在日志中查看。|NORMAL|true

25|幽灵船梦魇号 - 场景25|每块烂木头有概率换算成一单位木料，破布条则是一单位布料。\n\n你简单算了下，这个概率不到10%。\n\n即抓十根烂木头，差不多可以获得一单位木料。\n\n如果有意识的抓取一些品相好的浮木，概率则会高一些。\n\n你抓了上百个漂浮物，总共收获了五单位木材，三单位布料，耗时三小时，效率并不高。\n\n但这是个技术活，熟练度高了后，效率会有提升。\n\n这些木料和布料，可以用于升级船体。|NORMAL|true

26|幽灵船梦魇号 - 场景26|你的船升到二级，需要如下材料：【木料200，布料100，船长的遗骸】\n\n这遗骸是什么，你已经知道了，肯定是船长室那具。\n\n所以这骸骨不能丢。\n\n要收集这么多木料和布料，保守估计也要一周以上。\n\n这还是一级船。\n\n等后面等级高了，估计更难升级。\n\n不过升级船只居然要遗骸.....\n\n你突然意识到，特殊船只的升级材料可能有些不同。\n\n你立刻打开聊天频道查询，发现果然如此。\n\n白板船升级材料要少些。|DIALOGUE|true

27|幽灵船梦魇号 - 场景27|你们只需木料100，和布料50即可，根本不需要什么骸骨。\n\n而那艘钢铁雄心号....它升级居然需要钢铁。\n\n“干！这大海上哪来钢铁，我升个锤子升！”\n\n“众所周知，铁比水沉，只会沉在海底。”\n\n“钓鱼佬啥都能钓到！我刚钓到一单位钢铁！”\n\n“蛤？”\n\n“高价收购钢铁！谁给我钢铁，我就收谁当小弟。”\n\n“八嘎！还收钢铁，你能活过明天再说！黑雾都要追上你了！”\n\n“樱花号是吧，有种别匿名！给我等着，别让我逮到！”\n\n你合上日志|NORMAL|true

28|幽灵船梦魇号 - 场景28|看来特殊船也不全是优势，升级难度大，容易在等级上落后。\n\n你抄起鱼竿，准备钓鱼。|NORMAL|true

