# 第10章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

102|解锁交易与冷箭 - 场景102|“....系统公告...”\n\n“...恭喜各位玩家成功活过第五天，交易系统正式开放，具体请查看日志...”\n\n古怪的声音从你脑海响起，你幽幽转醒。\n\n“第五天....我难道昏迷了两天多？”\n\n你感觉自己四肢像被注了铅，浑身冰冷，嘴唇干裂，嗓子冒火。\n\n你立刻查看自己的状态。\n\n状态：重伤/尸毒感染（严重）『整个人体变成了红色』\n\n理智：100/100\n\n精力：23/100|TRADE|true

103|解锁交易与冷箭 - 场景103|气血：14/100（100以下为受伤，50以下为中伤，30以下重伤，10以下濒死，濒死状态下受到攻击，可能直接死亡）\n\n你的状态，已经离死亡不远了。\n\n你挣扎着爬起，口干难耐，打算先吃点什么补充水分，然后再看看交易频道，看能不能买到救命的药品。\n\n但就在你起身的一刹那，赫然发现自己侧面还停着一艘船。\n\n那是一艘挂着骷髅旗帜的海盗船，长二十余米，两个钩爪勾住了梦魇号。\n\n而且两船之间，搭有可供通行的木板，形成一座窄桥。|COMBAT|true

104|解锁交易与冷箭 - 场景104|“不好！”\n\n你瞬间警觉，可为时已晚。\n\n一支箭矢飞来，正中你左臂，力道很大，直接穿透。\n\n这一箭，直接把你气血干到了9点，进入濒死状态。\n\n你立刻倒下，躲在船沿下方。\n\n随即，两船之间的木板传来动静。\n\n有人在过桥。\n\n你应该是过来确认你的生死的。\n\n这一箭并不致命，没射中要害。\n\n但你倒下的速度却很快，对方可能没看清，需要要上前确认。\n\n碍于规则，你并不能直接登上梦魇号。\n\n所以你一直跟着，等待船主你现身，杀死你后就能登船了....|TUTORIAL|true

105|解锁交易与冷箭 - 场景105|你瞬间想明白了来龙去脉，眼中射出狠厉之光。\n\n“既想杀我，那想必被杀....也不会有任何怨言！”\n\n你心中暗道，已下了杀心。\n\n你左臂负伤，但并不疼，右臂无碍，可以瞄准和扣动扳机。\n\n于是你握住燧发枪，暗中解除了登陆限制。\n\n你很确定，对方肯定没有厉害的火器，不然早就轰上来了。\n\n等男子上船，第一眼就注意到甲板上躺着个人。\n\n你脸色惨白，双眸猩红，如僵尸一般，浑身散发恶心的腐臭味。（尸毒带来的）|NORMAL|true

106|解锁交易与冷箭 - 场景106|更吓人的是，这“僵尸”手里还握着一把大口径的燧发枪，黑乎乎的枪口正对准自己......\n\n“不要动，一旦你敢拉弓或做出任何攻击动作，我就会立刻射爆你的头！”你威胁道，从地上缓缓坐起。\n\n对方被枪指着，一时不敢妄动。\n\n但实际上，你也不敢轻易开枪。\n\n毕竟这枪，在不开火的时候，才是最具威胁的。\n\n你一旦开火，就会产生两种可能，哑火或者枪响。\n\n如果哑火，那你就死定了。\n\n如果枪响，对方大概率会被这大威力燧发枪轰碎。|COMBAT|true

