# 第1章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

18|航海日志详细规则|你将它拿起，打开，第一页写有规则。\n\n【1.未经允许，其他人无法登上你的船只。】\n\n【2.你船上的物品不会被其他玩家盗窃，除非你已死亡。】\n\n【3.每艘船都装有爪钩，耐久无限，大胆抓向飘来的物品吧！】\n\n【4.你需要升级强化您的船只，让它看起来足够安全。】\n\n【5.要小心夜晚，当心雾气，一旦陷入后方黑雾，你将会死亡。】\n\n【6.本手册灵魂绑定，可在脑海中翻阅。】\n\n【7.在海上，你永远不会感到寂寞。】|TUTORIAL|false

19|属性详情|这册子摸起来像皮肤，你往后翻去。\n\n第二页，是当天的天气情况，暂且略过。\n\n第三页，则是状态信息。\n\n你\n\n状态：健康『一个大字型人体图案，全部是绿色』\n\n（成年人属性各项平均值为5，可以通过后天锻炼提升到10。）\n\n（属性10是凡物的极限。）\n\n力量：3（0/50）\n\n精神：7+1（0/8000）  （精神越高，理智抗性越高，同时理智恢复速度加快）\n\n敏捷：4（0/100）\n\n体质：3（0/50）\n\n感知：5（0/200）|TUTORIAL|false

20|理智与天赋|理智：100/100（理智低于50将疯狂，低于30将产生自杀念头，低于10....）\n\n精力：100/100（精力低于50将困倦，低于30可能昏厥。）\n\n气血：100/100\n\n天赋：\n\n钢铁意志：你永不服输，精神上限+1，你理智至少会保留1点，且不会自杀，理智大量降低（低于50），会进入癫狂状态。\n\n你看完属性界面，稍微安心。\n\n低属性所需经验很少，这样你追属性也不会太难。\n\n你继续往后翻，找到了聊天频道。|TUTORIAL|false

21|世界聊天|里面分为世界聊天，区域聊天，和私密聊天。\n\n目前世界频道最热闹，陆续有人发言。\n\n"有人吗？"\n\n"这到底是什么情况？"\n\n"我刚刚在拉屎，还没擦屁股呢，转眼间就到船上了！"\n\n"这里就我一个人，你们谁有手机吗，帮我报个警！"\n\n"谁绑架的我，你知道我爸是谁吗？"\n\n"说不定你爸也一起过来了！"\n\n"儿子，是你吗？"\n\n"别瞎认！"\n\n"我骨折的手居然好了...."\n\n"有痛觉...这不是梦！"|DIALOGUE|false

22|情报收集|在线人数高达几十亿，估计所有人都被拉了进来。\n\n你没有急着发话，而是在看聊天信息，收集潜在的情报。\n\n每人每天，只能发10条世界信息，再多就得支付海螺币了，一百海螺币一条\n\n这海螺币是什么东西，你不清楚，手上也没有。\n\n十几分钟后，混乱的发言渐渐变少，聊天变得有营养起来。\n\n"你们手册的规则也是7条吗？"\n\n"求抱团，有没有组队的！"\n\n"距离太远，又没坐标，现在根本没法抱团！"\n\n"我们应该分享情报，彼此帮助！"|NORMAL|false

