# 第4章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

29|你管这叫鱼？ - 场景29|＜今日天气＞\n\n天空晴朗，万里无云，是个钓鱼的好日子！\n\n地点：起源之海\n\n日照时长：剩余5小时\n\n气温：12~20℃\n\n风力：1级|NORMAL|true

30|你管这叫鱼？ - 场景30|钓饵的话，你已经在日志里确认过了，这里钓鱼不需要鱼饵，应该是系统之力。\n\n但挂上鱼饵的话，能提高钓鱼效率。\n\n准备工作就绪。\n\n现在....开钓！\n\n你甩竿，鱼钩划出一道弧线，落入海里。\n\n你并不是很擅长钓鱼，但现在...你有的是时间学习！\n\n十五分钟过去，浮标一点动静都没有。\n\n你打开世界频道，看看别的钓鱼佬都钓到了啥，好有个心理准备。\n\n“你们怎么知道我上鱼了，100C”\n\n还附带一张大鲈鱼的照片。\n\n“T，谁问你了！”|NORMAL|true

31|你管这叫鱼？ - 场景31|“我也钓到一条巨物！”\n\n“有多大？”\n\n“超大，没拉上来！”\n\n“那你说个屁！”\n\n........\n\n你往上翻，终于看见一条有意思的留言。\n\n“你们钓鱼要注意，发现不对劲的玩意儿，记得立刻切线。\n\n没惩罚的，只要鱼竿没丢，鱼线是无限再生的。”\n\n“那你钓到啥了?”\n\n“看起来像个人影，我反正直接切了。”\n\n“美人鱼吧，你把你老婆放生了！”\n\n“那东西肯定不对劲，你们看我钓竿就知道了。”\n\n【名称：碳纤维精制鱼竿】\n\n【种类：工具】\n\n【品级：精品】|EXPLORATION|true

32|你管这叫鱼？ - 场景32|【简介：一支优秀的钓竿，可以传给你的孙子。\n\n提高钓鱼成功率，减少钓鱼精力消耗，并略微提高钓到不明物的概率。】\n\n“好东西啊，我的钓竿怎么是普通白板！”\n\n“你就知足吧！我资深钓鱼佬，连鱼竿都没有，现在还在玩爪钩，简易钓竿需要十木料合成！”\n\n“你羡慕的太早了，看看我的船吧。”\n\n【渔夫号，一级，耐久345/400，容量500单位，航速25节】\n\n【船体技能：无】\n\n【简介：它并不结实，也没有技能，但能让你更像渔夫。】|VICTORY|true

33|你管这叫鱼？ - 场景33|瞧见25节航速的小船，羡慕的人一下少了一半。\n\n“你的渔船耐久怎么掉了？”\n\n“我刚拉上来一条三米的大白鲨，差点把我吞了....\n\n现在大点的东西，我都直接切，不然拉上船，指不定谁吃谁呢！”\n\n........\n\n你继续翻，发现钓鱼不仅能钓到鱼，还有人钓到了其他东西，甚至还有宝箱，淡水等。\n\n“我钓到了一个宝箱！”\n\n“宝箱？里面有什么东西？”\n\n“秘密！”\n\n“你们都能钓到鱼，我到现在连鱼影都没见过！|EXPLORATION|true

